Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,FofA_Std,LF_Std,LOR_Std,DELE_Std
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,40,2,1,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,01,23,-0.9284879004965676,1.2192851944685084,-0.576702125147888,0.5973512531255153
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,30,4,1,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,01,23,-0.9284879004965676,-0.6070439563876039,-0.576702125147888,0.5973512531255153
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,35,7,1,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,01,23,-0.9284879004965676,-0.7266242691427189,-0.576702125147888,0.5973512531255153
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,25,9,1,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,01,23,-0.9284879004965676,-0.6976983121621539,-0.576702125147888,0.5973512531255153
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,39,12,0,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,01,23,-0.9284879004965676,1.8590294726223884,-0.576702125147888,0.5973512531255153
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,29,14,1,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,01,23,-0.9284879004965676,1.3094754154075394,-0.576702125147888,0.5973512531255153
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,34,17,0,vivir,599425,1,Canonical,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,01,23,-0.9284879004965676,-0.5911434385155749,-0.576702125147888,0.5973512531255153
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,24,19,0,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,01,23,-0.9284879004965676,-0.6058645680342081,-0.576702125147888,0.5973512531255153
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,38,22,0,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,01,23,-0.9284879004965676,-0.6070439563876039,-0.576702125147888,0.5973512531255153
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,28,24,0,excluir,53412,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,01,23,-0.9284879004965676,-0.730770796061694,-0.576702125147888,0.5973512531255153
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,33,27,0,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,01,23,-0.9284879004965676,-0.6976983121621539,-0.576702125147888,0.5973512531255153
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,23,29,1,vivir,599425,1,Canonical,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,01,23,-0.9284879004965676,-0.5911434385155749,-0.576702125147888,0.5973512531255153
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,37,32,1,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,01,23,-0.9284879004965676,1.3094754154075394,-0.576702125147888,0.5973512531255153
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,27,34,0,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,01,23,-0.9284879004965676,1.8590294726223884,-0.576702125147888,0.5973512531255153
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,32,37,1,amar,80242,1,Canonical,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,01,23,-0.9284879004965676,-0.7239097835895324,-0.576702125147888,0.5973512531255153
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,22,39,0,amar,80242,1,Canonical,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,01,23,-0.9284879004965676,-0.7239097835895324,-0.576702125147888,0.5973512531255153
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,36,42,0,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,01,23,-0.9284879004965676,1.3094754154075394,-0.576702125147888,0.5973512531255153
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,26,44,1,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,01,23,-0.9284879004965676,1.2192851944685084,-0.576702125147888,0.5973512531255153
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,31,47,0,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,01,23,-0.9284879004965676,-0.6058645680342081,-0.576702125147888,0.5973512531255153
