"","Participant_ID","Seq_part","Verb","Davies_Rank","Davies_Rating","CORPES_Rank","CORPES_Rating","Part_Rating","FofU_Comp","FofU_Prod","DELE","AoA_ENG","Davies_Std","CORPES_Std","SRLF_Std","FofU","FofU_Std","DELE_Std","AoA_ENG_Std","SRLF_Avg"
"1","HSP01",1,"amar",22,80242,22,28853,7,10,13,45,0,-0.456228904678978,-0.517454197687868,0.755262440696062,23,-0.690731804655633,1.02517885028748,-1.05445291624808,4.69811320754717
"2","HSP01",1,"atar",30,15876,30,9406,2,10,13,45,0,-0.481739628392195,-0.564137185909228,-1.24715519712399,23,-0.690731804655633,1.02517885028748,-1.05445291624808,1.71153846153846
"3","HSP01",1,"bailar",28,29935,25,20774,7,10,13,45,0,-0.476167505459527,-0.536848030250236,0.755262440696062,23,-0.690731804655633,1.02517885028748,-1.05445291624808,4.71153846153846
"4","HSP01",1,"conseguir",19,129144,16,93382,3,10,13,45,0,-0.436847159487049,-0.362550791150298,-0.846671669559979,23,-0.690731804655633,1.02517885028748,-1.05445291624808,5.41509433962264
"5","HSP01",1,"creer",14,537246,8,208637,7,10,13,45,0,-0.275100626087253,-0.0858784094228936,0.755262440696062,23,-0.690731804655633,1.02517885028748,-1.05445291624808,6.09433962264151
"6","HSP01",1,"dejar",9,696519,5,343581,4,10,13,45,0,-0.211974604616675,0.2380578873089,-0.446188141995969,23,-0.690731804655633,1.02517885028748,-1.05445291624808,6.05660377358491
"7","HSP01",1,"desear",18,148807,18,45949,3,10,13,45,0,-0.429053955615859,-0.47641484114792,-0.846671669559979,23,-0.690731804655633,1.02517885028748,-1.05445291624808,4.11320754716981
"8","HSP01",1,"doler",25,69627,28,15080,6,10,13,45,0,-0.460436037827159,-0.5505166133187,0.354778913132052,23,-0.690731804655633,1.02517885028748,-1.05445291624808,5.54716981132075
"9","HSP01",1,"enviar",8,766523,19,44367,2,10,13,45,0,-0.184229324456031,-0.480212469952681,-1.24715519712399,23,-0.690731804655633,1.02517885028748,-1.05445291624808,4.60377358490566
"10","HSP01",1,"esperar",4,1409514,12,171091,5,10,13,45,0,0.0706127622214868,-0.176008479652707,-0.0457046144319584,23,-0.690731804655633,1.02517885028748,-1.05445291624808,5.86792452830189
"11","HSP01",1,"estar",1,10180830,1,1624151,8,10,13,45,0,3.54702296446055,3.31209677385319,1.15574596826007,23,-0.690731804655633,1.02517885028748,-1.05445291624808,7.20754716981132
"12","HSP01",1,"excluir",27,53412,29,10043,3,10,13,45,0,-0.466862666559872,-0.562608052186957,-0.846671669559979,23,-0.690731804655633,1.02517885028748,-1.05445291624808,3.09433962264151
