Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Response,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
SBC10,64,Female,Comparison,Comparison,50,2,0,28,28,40,10,47,Advanced,Native Range,22,22,B,16C,8,1,#06: desear,148807,NA,NA,Regular,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,44,NA,1.0759280620714182,1.0001115614272114,0.7377561070781309,1.0176007879499522,-0.14983347403347078,-0.945509093032653,NA,NA,-1.1169440519248854,0.33231182128624165
SBC10,64,Female,Comparison,Comparison,50,2,0,28,28,40,10,47,Advanced,Native Range,22,22,B,15C,43,1,#06: desear,148807,NA,NA,Regular,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,C,[–F/+F],Comparación,Receptiva,44,NA,1.0759280620714182,1.0001115614272114,0.7377561070781309,1.0176007879499522,-0.14983347403347078,-0.945509093032653,NA,NA,-1.1218230933317923,0.33231182128624165
SBC11,79,Female,Comparison,Comparison,51,2,0,32,32,40,10,47,Advanced,Native Range,23,23,A,16C,8,1,#06: desear,148807,NA,NA,Regular,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,46,NA,1.3982029262176152,1.2374680753876868,1.0372258165051944,1.3886916735841228,-0.14983347403347078,-0.945509093032653,NA,NA,-1.1169440519248854,0.8696075660185231
SBC11,79,Female,Comparison,Comparison,51,2,0,32,32,40,10,47,Advanced,Native Range,23,23,A,16C,43,1,#06: desear,148807,NA,NA,Regular,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,46,NA,1.3982029262176152,1.2374680753876868,1.0372258165051944,1.3886916735841228,-0.14983347403347078,-0.945509093032653,NA,NA,-1.1169440519248854,0.8696075660185231
SBC13,100,Female,Comparison,Comparison,23,2,0,5,20,40,5,49,Advanced,Native Range,17,20,B,16C,8,1,#06: desear,148807,NA,NA,Regular,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,37,NA,-0.052033962440271,-0.1866710083751652,0.13881668822400378,-1.1161718044465287,1.5936833147196436,-0.945509093032653,NA,NA,-1.1169440519248854,-0.7422796681783214
SBC13,100,Female,Comparison,Comparison,23,2,0,5,20,40,5,49,Advanced,Native Range,17,20,B,15C,43,1,#06: desear,148807,NA,NA,Regular,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,C,[–F/+F],Comparación,Receptiva,37,NA,-0.052033962440271,-0.1866710083751652,0.13881668822400378,-1.1161718044465287,1.5936833147196436,-0.945509093032653,NA,NA,-1.1218230933317923,-0.7422796681783214
SBC14,22,Female,Comparison,Comparison,43,4,0,12,33,40,10,48,Advanced,Native Range,18,18,A,15C,8,1,#06: desear,148807,NA,NA,Regular,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,C,[–F/+F],Comparación,Receptiva,36,NA,-0.21317139451336947,0.05068550558531012,-0.4601227306301234,-0.4667627545867302,0.7219249203430864,-0.945509093032653,NA,NA,-1.1218230933317923,1.0039315022015936
SBC14,22,Female,Comparison,Comparison,43,4,0,12,33,40,10,48,Advanced,Native Range,18,18,A,16C,43,1,#06: desear,148807,NA,NA,Regular,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,36,NA,-0.21317139451336947,0.05068550558531012,-0.4601227306301234,-0.4667627545867302,0.7219249203430864,-0.945509093032653,NA,NA,-1.1169440519248854,1.0039315022015936
SBC15,107,Female,Comparison,Comparison,21,2,0,8,16,40,10,46,Advanced,Native Range,20,21,B,16C,8,1,#06: desear,148807,NA,NA,Regular,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,41,NA,0.5925157658521228,0.5253985335062608,0.43828639765106736,-0.8378536402209009,-1.021591868410028,-0.945509093032653,NA,NA,-1.1169440519248854,-1.2795754129106027
SBC15,107,Female,Comparison,Comparison,21,2,0,8,16,40,10,46,Advanced,Native Range,20,21,B,15C,43,1,#06: desear,148807,NA,NA,Regular,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,C,[–F/+F],Comparación,Receptiva,41,NA,0.5925157658521228,0.5253985335062608,0.43828639765106736,-0.8378536402209009,-1.021591868410028,-0.945509093032653,NA,NA,-1.1218230933317923,-1.2795754129106027
