Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Group_No,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Verb_Condition,FofA,Token_Differential,FofA_Std,AoA_ENG_Std,DELE_Std,Token_Lemma_Std,Token_Differential_Std,Token_Pret_Std,LOR_Std
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,38,22,1,creer,537246,33274,70392,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,H,Irregular stative with entre,32,37118,-0.2605486099109039,NA,1.1201247641131247,-0.6207767179511748,-0.3630001064639772,-0.6803560504137125,1.2440341702558333
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,28,24,1,excluir,53412,6569,1574,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,F,Irregular stative with durante,32,-4995,-0.2605486099109039,NA,1.1201247641131247,-0.7437461935040619,-0.4049727705517121,-0.7179137420461518,1.2440341702558333
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,33,27,1,faltar,182742,66767,55352,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,G,Regular stative with entre,32,-11415,-0.2605486099109039,NA,1.1201247641131247,-0.7108761548683834,-0.4113713767645979,-0.6332517715953155,1.2440341702558333
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,23,29,1,vivir,599425,225093,130040,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,E,Regular stative with durante,32,-95053,-0.2605486099109039,NA,1.1201247641131247,-0.6049735312788803,-0.4947306643710371,-0.41058339168902147,1.2440341702558333
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,37,32,1,tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,H,Irregular stative with entre,32,-264072,-0.2605486099109039,NA,1.1201247641131247,1.284011140991852,-0.663186431270685,2.1725082041720007,1.2440341702558333
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,27,34,1,estar,10180830,1173419,2479642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,F,Irregular stative with durante,32,1306223,-0.2605486099109039,NA,1.1201247641131247,1.8302012350868762,0.9018757716987003,0.9231344691993749,1.2440341702558333
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,32,37,0,amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,G,Regular stative with entre,32,9386,-0.2605486099109039,NA,1.1201247641131247,-0.7369271790712524,-0.3906396933013211,-0.7193046634850014,1.2440341702558333
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,22,39,0,amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,E,Regular stative with durante,32,9386,-0.2605486099109039,NA,1.1201247641131247,-0.7369271790712524,-0.3906396933013211,-0.7193046634850014,1.2440341702558333
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,36,42,0,tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,H,Irregular stative with entre,32,-264072,-0.2605486099109039,NA,1.1201247641131247,1.284011140991852,-0.663186431270685,2.1725082041720007,1.2440341702558333
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,26,44,1,haber,7679109,1017563,4153642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,F,Irregular stative with durante,32,3136079,-0.2605486099109039,NA,1.1201247641131247,1.1943729978202846,2.7256340225221107,0.7039398769108349,1.2440341702558333
