Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,26C,7,1,#10: excluir,excluir,53412,6569,1574,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,F,Irregular stative with durante,Comparación,Receptiva,42,-4995,0.7951026505413151,0.7950584971637048,0.47033192663492585,-1.3686139837131368,0.6390552467444482,-0.6616748472903697,-0.36258870915607044,-0.6445988395922904,NA,-0.5963123919354069
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,37C,10,0,#01: estar,estar,10180830,1173419,2479642,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,H,Irregular stative with entre,Comparación,Receptiva,42,1306223,0.7951026505413151,0.7950584971637048,0.47033192663492585,-1.3686139837131368,0.6390552467444482,2.031500810137072,1.0834847332613176,1.0998787893416149,NA,-0.5963123919354069
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,22C,12,1,#05: gustar,gustar,541858,94346,59408,Regular,DativeExp,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,E,Regular stative with durante,Comparación,Receptiva,42,-34938,0.7951026505413151,0.7950584971637048,0.47033192663492585,-1.3686139837131368,0.6390552467444482,-0.53178281783451,-0.39561127068764174,-0.5133694503520869,NA,-0.5963123919354069
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,32C,15,1,#05: gustar,gustar,541858,94346,59408,Regular,DativeExp,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,G,Regular stative with entre,Comparación,Receptiva,42,-34938,0.7951026505413151,0.7950584971637048,0.47033192663492585,-1.3686139837131368,0.6390552467444482,-0.53178281783451,-0.39561127068764174,-0.5133694503520869,NA,-0.5963123919354069
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,27C,17,1,#01: estar,estar,10180830,1173419,2479642,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,F,Irregular stative with durante,Comparación,Receptiva,42,1306223,0.7951026505413151,0.7950584971637048,0.47033192663492585,-1.3686139837131368,0.6390552467444482,2.031500810137072,1.0834847332613176,1.0998787893416149,NA,-0.5963123919354069
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,36C,20,1,#02: tener,tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,H,Irregular stative with entre,Comparación,Receptiva,42,-264072,0.7951026505413151,0.7950584971637048,0.47033192663492585,-1.3686139837131368,0.6390552467444482,1.4600105576924103,-0.6483111208688211,2.4279960962567717,NA,-0.5963123919354069
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,23C,22,1,#07: faltar,faltar,182742,66767,55352,Regular,DativeExp,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,E,Regular stative with durante,Comparación,Receptiva,42,-11415,0.7951026505413151,0.7950584971637048,0.47033192663492585,-1.3686139837131368,0.6390552467444482,-0.6272822303592732,-0.3696689898571588,-0.5546009270015004,NA,-0.5963123919354069
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,33C,25,1,#07: faltar,faltar,182742,66767,55352,Regular,DativeExp,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,G,Regular stative with entre,Comparación,Receptiva,42,-11415,0.7951026505413151,0.7950584971637048,0.47033192663492585,-1.3686139837131368,0.6390552467444482,-0.6272822303592732,-0.3696689898571588,-0.5546009270015004,NA,-0.5963123919354069
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,28C,27,1,#06: creer,creer,537246,33274,70392,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,F,Irregular stative with durante,Comparación,Receptiva,42,37118,0.7951026505413151,0.7950584971637048,0.47033192663492585,-1.3686139837131368,0.6390552467444482,-0.5330092830729405,-0.31614449402134576,-0.604674020566126,NA,-0.5963123919354069
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,38C,30,1,#03: haber,haber,7679109,1017563,4153642,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,H,Irregular stative with entre,Comparación,Receptiva,42,3136079,0.7951026505413151,0.7950584971637048,0.47033192663492585,-1.3686139837131368,0.6390552467444482,1.3662202718127885,3.1015367772754416,0.8668691434272963,NA,-0.5963123919354069
