Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Response,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
SBC10,64,Female,Comparison,Comparison,50,2,0,28,28,40,10,47,Advanced,Native Range,22,22,B,10P,5,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#10: atar,15876,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,44,NA,0.9823539304525483,0.9075943294659358,0.7039489342874022,1.0213710452610867,-0.26892383856272,1.587729232523266,NA,NA,-1.093948674309252,0.28285571500308343
SBC10,64,Female,Comparison,Comparison,50,2,0,28,28,40,10,47,Advanced,Native Range,22,22,B,1P,50,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#03: dejar,696519,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,44,NA,0.9823539304525483,0.9075943294659358,0.7039489342874022,1.0213710452610867,-0.26892383856272,1.587729232523266,NA,NA,0.8823428140155092,0.28285571500308343
SBC11,79,Female,Comparison,Comparison,51,2,0,32,32,40,10,47,Advanced,Native Range,23,23,A,1P,1,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#03: dejar,696519,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,46,NA,1.2882938406664806,1.1331711725176634,0.9974520730130944,1.3961502916827373,-0.26892383856272,1.587729232523266,NA,NA,0.8823428140155092,0.8405789219924754
SBC11,79,Female,Comparison,Comparison,51,2,0,32,32,40,10,47,Advanced,Native Range,23,23,A,10P,46,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#10: atar,15876,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,46,NA,1.2882938406664806,1.1331711725176634,0.9974520730130944,1.3961502916827373,-0.26892383856272,1.587729232523266,NA,NA,-1.093948674309252,0.8405789219924754
SBC13,101,Female,Comparison,Comparison,23,2,0,5,20,40,5,49,Advanced,Native Range,17,20,B,10P,5,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#10: atar,15876,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,37,NA,-0.08843575529621481,-0.22028988579270287,0.11694265683601796,-1.1336096216634037,1.3321111072990548,1.587729232523266,NA,NA,-1.093948674309252,-0.8325906989757006
SBC13,101,Female,Comparison,Comparison,23,2,0,5,20,40,5,49,Advanced,Native Range,17,20,B,1P,50,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#03: dejar,696519,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,37,NA,-0.08843575529621481,-0.22028988579270287,0.11694265683601796,-1.1336096216634037,1.3321111072990548,1.587729232523266,NA,NA,0.8823428140155092,-0.8325906989757006
SBC14,22,Female,Comparison,Comparison,43,4,0,12,33,40,10,48,Advanced,Native Range,18,18,A,1P,1,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#03: dejar,696519,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,36,NA,-0.24140571040318098,0.0052869572590248685,-0.4700636206153663,-0.4777459404255153,0.5315936343681674,1.587729232523266,NA,NA,0.8823428140155092,0.9800097237398234
SBC14,22,Female,Comparison,Comparison,43,4,0,12,33,40,10,48,Advanced,Native Range,18,18,A,10P,46,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#10: atar,15876,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,36,NA,-0.24140571040318098,0.0052869572590248685,-0.4700636206153663,-0.4777459404255153,0.5315936343681674,1.587729232523266,NA,NA,-1.093948674309252,0.9800097237398234
SBC15,107,Female,Comparison,Comparison,21,2,0,8,16,40,10,46,Advanced,Native Range,20,21,B,10P,5,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#10: atar,15876,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,41,NA,0.5234440651316499,0.4564406433624803,0.41044579556171007,-0.8525251868471658,-1.0694413114936074,1.587729232523266,NA,NA,-1.093948674309252,-1.3903139059650926
SBC15,107,Female,Comparison,Comparison,21,2,0,8,16,40,10,46,Advanced,Native Range,20,21,B,1P,50,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#03: dejar,696519,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,41,NA,0.5234440651316499,0.4564406433624803,0.41044579556171007,-0.8525251868471658,-1.0694413114936074,1.587729232523266,NA,NA,0.8823428140155092,-1.3903139059650926
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,9P,36,1,#04: necesitar,593469,NA,NA,Regular,Canonical,#07: prestar,73724,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,42,NA,0.676414020238616,0.682017486414208,0.41044579556171007,0.27181255241778574,-0.26892383856272,-0.05019865185245879,NA,NA,-0.9259832210296166,0.0039941115083874075
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,5P,41,1,#04: necesitar,593469,NA,NA,Regular,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,42,NA,0.676414020238616,0.682017486414208,0.41044579556171007,0.27181255241778574,-0.26892383856272,-0.05019865185245879,NA,NA,0.3312112516812171,0.0039941115083874075
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,5P,10,1,#04: necesitar,593469,NA,NA,Regular,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,42,NA,0.676414020238616,0.682017486414208,0.41044579556171007,-1.320999244874229,0.5315936343681674,-0.05019865185245879,NA,NA,0.3312112516812171,-0.5537290954810046
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,9P,15,1,#04: necesitar,593469,NA,NA,Regular,Canonical,#07: prestar,73724,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,42,NA,0.676414020238616,0.682017486414208,0.41044579556171007,-1.320999244874229,0.5315936343681674,-0.05019865185245879,NA,NA,-0.9259832210296166,-0.5537290954810046
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,B,5P,10,1,#04: necesitar,593469,NA,NA,Regular,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,32,NA,-0.8532855308310456,-0.44586672884443057,-1.0570698980667506,-0.19666150560927745,1.3321111072990548,-0.05019865185245879,NA,NA,0.3312112516812171,1.1194405254871713
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,B,9P,15,1,#04: necesitar,593469,NA,NA,Regular,Canonical,#07: prestar,73724,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,32,NA,-0.8532855308310456,-0.44586672884443057,-1.0570698980667506,-0.19666150560927745,1.3321111072990548,-0.05019865185245879,NA,NA,-0.9259832210296166,1.1194405254871713
SBC04,5,Female,Comparison,Comparison,30,2,0,10,28,40,10,50,Advanced,Native Range,25,23,A,9P,36,1,#04: necesitar,593469,NA,NA,Regular,Canonical,#07: prestar,73724,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,48,NA,1.594233750880413,1.584324858621119,0.9974520730130944,-0.6651355636363406,2.1326285802299423,-0.05019865185245879,NA,NA,-0.9259832210296166,0.28285571500308343
SBC04,5,Female,Comparison,Comparison,30,2,0,10,28,40,10,50,Advanced,Native Range,25,23,A,5P,41,1,#04: necesitar,593469,NA,NA,Regular,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,48,NA,1.594233750880413,1.584324858621119,0.9974520730130944,-0.6651355636363406,2.1326285802299423,-0.05019865185245879,NA,NA,0.3312112516812171,0.28285571500308343
SBC05,13,Female,Comparison,Comparison,41,2,0,39,39,40,10,45,Advanced,Native Range,8,24,B,5P,10,1,#04: necesitar,593469,NA,NA,Regular,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,32,NA,-0.8532855308310456,-2.2504814732582523,1.2909552117387864,2.0520139729206255,-1.8699587844244947,-0.05019865185245879,NA,NA,0.3312112516812171,1.8165945342239114
