Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Group_No,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Verb_Condition,FofA,FofA_Std,AoA_ENG_Std,DELE_Std,Token_Main_Lemma_Std,Token_Sub_Std,Token_Pret_Std,LOR_Std
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,1,1,1,esperar,1409514,NA,NA,Regular,Canonical,dejar,696519,Mood,Subjunctive,EMPT,A,[+F/+F],42,0.765855004889626,NA,-0.14610323010171386,1.8238975836942533,0.9326888404467704,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,11,3,1,desear,148807,NA,NA,Regular,Canonical,tomar,506707,Mood,Subjunctive,EMPT,C,[–F/+F],42,0.765855004889626,NA,-0.14610323010171386,-0.7551595778947737,0.3847883198820869,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,6,6,1,querer,1263949,NA,NA,Irregular,Canonical,robar,28182,Mood,Subjunctive,EMPT,B,[+F/–F],42,0.765855004889626,NA,-0.14610323010171386,1.5261119318919656,-0.9964947212492175,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,16,8,1,sugerir,88224,NA,NA,Irregular,Canonical,viajar,78141,Mood,Subjunctive,EMPT,D,[–F/–F],42,0.765855004889626,NA,-0.14610323010171386,-0.8790956074563991,-0.8522859140774316,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,2,11,1,pedir,432187,NA,NA,Irregular,Canonical,quedar,947469,Mood,Subjunctive,EMPT,A,[+F/+F],42,0.765855004889626,NA,-0.14610323010171386,-0.17544262665146468,1.657066833596346,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,12,13,1,sugerir,88224,NA,NA,Irregular,Canonical,dejar,696519,Mood,Subjunctive,EMPT,C,[–F/+F],42,0.765855004889626,NA,-0.14610323010171386,-0.8790956074563991,0.9326888404467704,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,7,16,1,pedir,432187,NA,NA,Irregular,Canonical,bailar,29935,Mood,Subjunctive,EMPT,B,[+F/–F],42,0.765855004889626,NA,-0.14610323010171386,-0.17544262665146468,-0.9914346111795175,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,17,18,1,conseguir,129144,NA,NA,Irregular,Canonical,atar,15876,Mood,Subjunctive,EMPT,D,[–F/–F],42,0.765855004889626,NA,-0.14610323010171386,-0.795384626988913,-1.0320165207459246,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,3,21,1,permitir,935997,NA,NA,Irregular,Canonical,enviar,766523,Mood,Subjunctive,EMPT,A,[+F/+F],42,0.765855004889626,NA,-0.14610323010171386,0.8552130202039646,1.1347584042341499,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,13,23,0,valorar,113028,NA,NA,Regular,Canonical,quedar,947469,Mood,Subjunctive,EMPT,C,[–F/+F],42,0.765855004889626,NA,-0.14610323010171386,-0.8283534970088057,1.657066833596346,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,8,26,1,permitir,935997,NA,NA,Irregular,Canonical,viajar,78141,Mood,Subjunctive,EMPT,B,[+F/–F],42,0.765855004889626,NA,-0.14610323010171386,0.8552130202039646,-0.8522859140774316,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,18,28,1,desear,148807,NA,NA,Regular,Canonical,robar,28182,Mood,Subjunctive,EMPT,D,[–F/–F],42,0.765855004889626,NA,-0.14610323010171386,-0.7551595778947737,-0.9964947212492175,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,4,31,1,querer,1263949,NA,NA,Irregular,Canonical,tratar,590952,Mood,Subjunctive,EMPT,A,[+F/+F],42,0.765855004889626,NA,-0.14610323010171386,1.5261119318919656,0.6279651440816726,NA,0.48297797198167647
