Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Group_No,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Verb_Condition
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,20,3,1,ordenar,65158,,,Regular,Canonical,bailar,29935,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,10,5,1,esperar,1409514,,,Regular,Canonical,atar,15876,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,15,8,1,conseguir,129144,,,Irregular,Canonical,enviar,766523,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,5,10,1,necesitar,593469,,,Regular,Canonical,tomar,506707,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,19,13,1,valorar,113028,,,Regular,Canonical,prestar,73724,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,9,15,1,necesitar,593469,,,Regular,Canonical,prestar,73724,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,14,18,1,ordenar,65158,,,Regular,Canonical,tratar,590952,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,4,20,1,querer,1263949,,,Irregular,Canonical,tratar,590952,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,18,23,1,desear,148807,,,Regular,Canonical,robar,28182,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,8,25,1,permitir,935997,,,Irregular,Canonical,viajar,78141,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,13,28,1,valorar,113028,,,Regular,Canonical,quedar,947469,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,3,30,1,permitir,935997,,,Irregular,Canonical,enviar,766523,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,17,33,1,conseguir,129144,,,Irregular,Canonical,atar,15876,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,7,35,1,pedir,432187,,,Irregular,Canonical,bailar,29935,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,12,38,1,sugerir,88224,,,Irregular,Canonical,dejar,696519,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,2,40,1,pedir,432187,,,Irregular,Canonical,quedar,947469,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,16,43,1,sugerir,88224,,,Irregular,Canonical,viajar,78141,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,6,45,1,querer,1263949,,,Irregular,Canonical,robar,28182,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,11,48,1,desear,148807,,,Regular,Canonical,tomar,506707,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,1,50,1,esperar,1409514,,,Regular,Canonical,dejar,696519,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,1,1,1,esperar,1409514,,,Regular,Canonical,dejar,696519,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,11,3,1,desear,148807,,,Regular,Canonical,tomar,506707,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,6,6,1,querer,1263949,,,Irregular,Canonical,robar,28182,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,16,8,1,sugerir,88224,,,Irregular,Canonical,viajar,78141,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,2,11,1,pedir,432187,,,Irregular,Canonical,quedar,947469,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,12,13,1,sugerir,88224,,,Irregular,Canonical,dejar,696519,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,7,16,1,pedir,432187,,,Irregular,Canonical,bailar,29935,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,17,18,1,conseguir,129144,,,Irregular,Canonical,atar,15876,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,3,21,1,permitir,935997,,,Irregular,Canonical,enviar,766523,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,13,23,1,valorar,113028,,,Regular,Canonical,quedar,947469,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,8,26,1,permitir,935997,,,Irregular,Canonical,viajar,78141,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,18,28,1,desear,148807,,,Regular,Canonical,robar,28182,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,4,31,1,querer,1263949,,,Irregular,Canonical,tratar,590952,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,14,33,1,ordenar,65158,,,Regular,Canonical,tratar,590952,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,9,36,1,necesitar,593469,,,Regular,Canonical,prestar,73724,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,19,38,1,valorar,113028,,,Regular,Canonical,prestar,73724,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,5,41,1,necesitar,593469,,,Regular,Canonical,tomar,506707,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,15,43,1,conseguir,129144,,,Irregular,Canonical,enviar,766523,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,10,46,1,esperar,1409514,,,Regular,Canonical,atar,15876,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC04,5,Female,Comparison,Comparison,04,30,0,10,28,40,10,50,25,23,A,20,48,1,ordenar,65158,,,Regular,Canonical,bailar,29935,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,20,3,1,ordenar,65158,,,Regular,Canonical,bailar,29935,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,10,5,1,esperar,1409514,,,Regular,Canonical,atar,15876,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,15,8,1,conseguir,129144,,,Irregular,Canonical,enviar,766523,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,5,10,1,necesitar,593469,,,Regular,Canonical,tomar,506707,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,19,13,1,valorar,113028,,,Regular,Canonical,prestar,73724,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,9,15,1,necesitar,593469,,,Regular,Canonical,prestar,73724,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,14,18,1,ordenar,65158,,,Regular,Canonical,tratar,590952,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,4,20,1,querer,1263949,,,Irregular,Canonical,tratar,590952,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,18,23,1,desear,148807,,,Regular,Canonical,robar,28182,Mood,Subjunctive,EMPT,D,[–F/–F]
