Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Group_No,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Verb_Condition,FofA,FofA_Std,AoA_ENG_Std,DELE_Std,Token_Main_Lemma_Std,Token_Sub_Std,Token_Pret_Std,LOR_Std
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,20,3,1,valorar,113028,NA,NA,Regular,Canonical,viajar,78141,Mood,Subjunctive,MSPT,D,[–F/–F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,-0.8283534970088057,-0.7659063963175863,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,10,5,1,pedir,432187,NA,NA,Irregular,Canonical,tratar,590952,Mood,Subjunctive,MSPT,B,[+F/–F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,-0.17544262665146468,0.6849094366391938,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,15,8,1,desear,148807,NA,NA,Regular,Canonical,robar,28182,Mood,Subjunctive,MSPT,C,[–F/+F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,-0.7551595778947737,-0.9072475691837841,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,5,10,1,esperar,1409514,NA,NA,Regular,Canonical,enviar,766523,Mood,Subjunctive,MSPT,A,[+F/+F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,1.8238975836942533,1.1816249645979444,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,19,13,1,ordenar,65158,NA,NA,Regular,Canonical,prestar,73724,Mood,Subjunctive,MSPT,D,[–F/–F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,-0.9262822515292983,-0.778402722516069,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,9,15,1,necesitar,593469,NA,NA,Regular,Canonical,enviar,766523,Mood,Subjunctive,MSPT,B,[+F/–F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,0.15449565173947108,1.1816249645979444,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,14,18,0,conseguir,129144,NA,NA,Irregular,Canonical,viajar,78141,Mood,Subjunctive,MSPT,C,[–F/+F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,-0.795384626988913,-0.7659063963175863,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,4,20,1,querer,1263949,NA,NA,Irregular,Canonical,quedar,947469,Mood,Subjunctive,MSPT,A,[+F/+F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,1.5261119318919656,1.6935471380891478,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,3,21,0,necesitar,593469,NA,NA,Regular,Canonical,tratar,590952,Mood,Subjunctive,MSPT,A,[+F/+F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,0.15449565173947108,0.6849094366391938,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,13,23,1,valorar,113028,NA,NA,Regular,Canonical,bailar,29935,Mood,Subjunctive,MSPT,C,[–F/+F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,-0.8283534970088057,-0.9022880808826884,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,8,26,0,permitir,935997,NA,NA,Irregular,Canonical,quedar,947469,Mood,Subjunctive,MSPT,B,[+F/–F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,0.8552130202039646,1.6935471380891478,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,18,28,1,sugerir,88224,NA,NA,Irregular,Canonical,atar,15876,Mood,Subjunctive,MSPT,D,[–F/–F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,-0.8790956074563991,-0.9420630073088754,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,4,31,0,querer,1263949,NA,NA,Irregular,Canonical,quedar,947469,Mood,Subjunctive,MSPT,A,[+F/+F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,1.5261119318919656,1.6935471380891478,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,14,33,0,conseguir,129144,NA,NA,Irregular,Canonical,viajar,78141,Mood,Subjunctive,MSPT,C,[–F/+F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,-0.795384626988913,-0.7659063963175863,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,9,36,0,necesitar,593469,NA,NA,Regular,Canonical,enviar,766523,Mood,Subjunctive,MSPT,B,[+F/–F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,0.15449565173947108,1.1816249645979444,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,19,38,0,ordenar,65158,NA,NA,Regular,Canonical,prestar,73724,Mood,Subjunctive,MSPT,D,[–F/–F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,-0.9262822515292983,-0.778402722516069,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,5,41,1,esperar,1409514,NA,NA,Regular,Canonical,enviar,766523,Mood,Subjunctive,MSPT,A,[+F/+F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,1.8238975836942533,1.1816249645979444,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,15,43,1,desear,148807,NA,NA,Regular,Canonical,robar,28182,Mood,Subjunctive,MSPT,C,[–F/+F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,-0.7551595778947737,-0.9072475691837841,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,10,46,0,pedir,432187,NA,NA,Irregular,Canonical,tratar,590952,Mood,Subjunctive,MSPT,B,[+F/–F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,-0.17544262665146468,0.6849094366391938,NA,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,20,26,40,7,47,21,21,A,20,48,1,valorar,113028,NA,NA,Regular,Canonical,viajar,78141,Mood,Subjunctive,MSPT,D,[–F/–F],42,0.765855004889626,0.3096174811318483,-0.14610323010171386,-0.8283534970088057,-0.7659063963175863,NA,0.48297797198167647
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,1,1,1,permitir,935997,NA,NA,Irregular,Canonical,tomar,506707,Mood,Subjunctive,MSPT,A,[+F/+F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,0.8552130202039646,0.4465682547077533,NA,0.10244987284459801
