Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Verb_condition,Participant,FofA,FofA_Std,Token_Main_Lemma_Std,Token_Sub_Std,Token_Pret_Std,LOR_Std,DELE_Std
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,14,33,1,ordenar,65158,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,C,Infrequent,01,42,0.7579429152256925,-0.926133223734668,0.6278641119606613,NA,0.45707339007656517,-0.11843066155453043
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,9,36,1,necesitar,593469,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,B,Frequent,01,42,0.7579429152256925,0.15447079522708437,-0.8648966010237529,NA,0.45707339007656517,-0.11843066155453043
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,19,38,1,valorar,113028,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,D,Infrequent,01,42,0.7579429152256925,-0.8282202247857552,-0.8648966010237529,NA,0.45707339007656517,-0.11843066155453043
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,5,41,1,necesitar,593469,NA,NA,1,Canonical,tomar,506707,Mood,Subjunctive,A,Frequent,01,42,0.7579429152256925,0.15447079522708437,0.3847264120191037,NA,0.45707339007656517,-0.11843066155453043
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,15,43,1,conseguir,129144,NA,NA,0,Canonical,enviar,766523,Mood,Subjunctive,C,Infrequent,01,42,0.7579429152256925,-0.7952566590648302,1.1345758351067141,NA,0.45707339007656517,-0.11843066155453043
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,10,46,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,Frequent,01,42,0.7579429152256925,1.8236041402712786,-1.0318504815652594,NA,0.45707339007656517,-0.11843066155453043
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,20,48,1,ordenar,65158,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,Infrequent,01,42,0.7579429152256925,-0.926133223734668,-0.9912751011453134,NA,0.45707339007656517,-0.11843066155453043
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,20,3,1,ordenar,65158,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,Infrequent,02,42,0.7579429152256925,-0.926133223734668,-0.9912751011453134,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,10,5,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,Frequent,02,42,0.7579429152256925,1.8236041402712786,-1.0318504815652594,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,15,8,1,conseguir,129144,NA,NA,0,Canonical,enviar,766523,Mood,Subjunctive,C,Infrequent,02,42,0.7579429152256925,-0.7952566590648302,1.1345758351067141,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,5,10,1,necesitar,593469,NA,NA,1,Canonical,tomar,506707,Mood,Subjunctive,A,Frequent,02,42,0.7579429152256925,0.15447079522708437,0.3847264120191037,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,19,13,1,valorar,113028,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,D,Infrequent,02,42,0.7579429152256925,-0.8282202247857552,-0.8648966010237529,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,9,15,1,necesitar,593469,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,B,Frequent,02,42,0.7579429152256925,0.15447079522708437,-0.8648966010237529,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,14,18,1,ordenar,65158,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,C,Infrequent,02,42,0.7579429152256925,-0.926133223734668,0.6278641119606613,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,4,20,1,querer,1263949,NA,NA,0,Canonical,tratar,590952,Mood,Subjunctive,A,Frequent,02,42,0.7579429152256925,1.525866398637719,0.6278641119606613,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,18,23,1,desear,148807,NA,NA,1,Canonical,robar,28182,Mood,Subjunctive,D,Infrequent,02,42,0.7579429152256925,-0.7550380817025475,-0.9963343971035014,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,8,25,1,permitir,935997,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,B,Frequent,02,42,0.7579429152256925,0.8550754266031699,-0.8521487914131901,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,13,28,1,valorar,113028,NA,NA,1,Canonical,quedar,947469,Mood,Subjunctive,C,Infrequent,02,42,0.7579429152256925,-0.8282202247857552,1.6568002312563381,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,3,30,1,permitir,935997,NA,NA,0,Canonical,enviar,766523,Mood,Subjunctive,A,Frequent,02,42,0.7579429152256925,0.8550754266031699,1.1345758351067141,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,17,33,1,conseguir,129144,NA,NA,0,Canonical,atar,15876,Mood,Subjunctive,D,Infrequent,02,42,0.7579429152256925,-0.7952566590648302,-1.0318504815652594,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,7,35,1,pedir,432187,NA,NA,0,Canonical,bailar,29935,Mood,Subjunctive,B,Frequent,02,42,0.7579429152256925,-0.17541440002001316,-0.9912751011453134,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,12,38,1,sugerir,88224,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,C,Infrequent,02,42,0.7579429152256925,-0.878954171431438,0.9325387819082002,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,2,40,1,pedir,432187,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,A,Frequent,02,42,0.7579429152256925,-0.17541440002001316,1.6568002312563381,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,16,43,1,sugerir,88224,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,D,Infrequent,02,42,0.7579429152256925,-0.878954171431438,-0.8521487914131901,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,6,45,1,querer,1263949,NA,NA,0,Canonical,robar,28182,Mood,Subjunctive,B,Frequent,02,42,0.7579429152256925,1.525866398637719,-0.9963343971035014,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,11,48,1,desear,148807,NA,NA,1,Canonical,tomar,506707,Mood,Subjunctive,C,Infrequent,02,42,0.7579429152256925,-0.7550380817025475,0.3847264120191037,NA,0.09141467801531303,0.5921533077726623
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,1,50,1,esperar,1409514,NA,NA,1,Canonical,dejar,696519,Mood,Subjunctive,A,Frequent,02,42,0.7579429152256925,1.8236041402712786,0.9325387819082002,NA,0.09141467801531303,0.5921533077726623
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,20,3,1,ordenar,65158,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,Infrequent,03,32,-0.2306782785469502,-0.926133223734668,-0.9912751011453134,NA,1.1883908141990693,1.3027372770998549
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,10,5,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,Frequent,03,32,-0.2306782785469502,1.8236041402712786,-1.0318504815652594,NA,1.1883908141990693,1.3027372770998549
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,15,8,1,conseguir,129144,NA,NA,0,Canonical,enviar,766523,Mood,Subjunctive,C,Infrequent,03,32,-0.2306782785469502,-0.7952566590648302,1.1345758351067141,NA,1.1883908141990693,1.3027372770998549
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,5,10,1,necesitar,593469,NA,NA,1,Canonical,tomar,506707,Mood,Subjunctive,A,Frequent,03,32,-0.2306782785469502,0.15447079522708437,0.3847264120191037,NA,1.1883908141990693,1.3027372770998549
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,19,13,1,valorar,113028,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,D,Infrequent,03,32,-0.2306782785469502,-0.8282202247857552,-0.8648966010237529,NA,1.1883908141990693,1.3027372770998549
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,9,15,1,necesitar,593469,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,B,Frequent,03,32,-0.2306782785469502,0.15447079522708437,-0.8648966010237529,NA,1.1883908141990693,1.3027372770998549
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,14,18,1,ordenar,65158,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,C,Infrequent,03,32,-0.2306782785469502,-0.926133223734668,0.6278641119606613,NA,1.1883908141990693,1.3027372770998549
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,4,20,1,querer,1263949,NA,NA,0,Canonical,tratar,590952,Mood,Subjunctive,A,Frequent,03,32,-0.2306782785469502,1.525866398637719,0.6278641119606613,NA,1.1883908141990693,1.3027372770998549
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,18,23,1,desear,148807,NA,NA,1,Canonical,robar,28182,Mood,Subjunctive,D,Infrequent,03,32,-0.2306782785469502,-0.7550380817025475,-0.9963343971035014,NA,1.1883908141990693,1.3027372770998549
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,8,25,1,permitir,935997,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,B,Frequent,03,32,-0.2306782785469502,0.8550754266031699,-0.8521487914131901,NA,1.1883908141990693,1.3027372770998549
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,13,28,1,valorar,113028,NA,NA,1,Canonical,quedar,947469,Mood,Subjunctive,C,Infrequent,03,32,-0.2306782785469502,-0.8282202247857552,1.6568002312563381,NA,1.1883908141990693,1.3027372770998549
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,3,30,1,permitir,935997,NA,NA,0,Canonical,enviar,766523,Mood,Subjunctive,A,Frequent,03,32,-0.2306782785469502,0.8550754266031699,1.1345758351067141,NA,1.1883908141990693,1.3027372770998549
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,17,33,1,conseguir,129144,NA,NA,0,Canonical,atar,15876,Mood,Subjunctive,D,Infrequent,03,32,-0.2306782785469502,-0.7952566590648302,-1.0318504815652594,NA,1.1883908141990693,1.3027372770998549
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,7,35,1,pedir,432187,NA,NA,0,Canonical,bailar,29935,Mood,Subjunctive,B,Frequent,03,32,-0.2306782785469502,-0.17541440002001316,-0.9912751011453134,NA,1.1883908141990693,1.3027372770998549
