Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,FofA_Std,LF_Std,TF_Std,LOR_Std,DELE_Std
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,26,44,1,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,03,32,-0.4981565709235539,1.1948925157316126,-0.9977246841962695,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,31,47,1,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,03,32,-0.4981565709235539,-0.6187974129007657,0.9977246841962695,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,21,49,0,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,03,32,-0.4981565709235539,-0.7387988824704917,0.9977246841962695,1.1021760239060472,1.257384604160852
SBC04,5,Female,Comparison,NA,30,0,10,2,40,10,50,25,23,A,21,2,0,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,04,48,1.4078337873926532,-0.7387988824704917,0.9977246841962695,-1.8369600398434118,2.0257863067035964
SBC04,5,Female,Comparison,NA,30,0,10,2,40,10,50,25,23,A,31,5,1,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,04,48,1.4078337873926532,-0.6187974129007657,0.9977246841962695,-1.8369600398434118,2.0257863067035964
SBC04,5,Female,Comparison,NA,30,0,10,2,40,10,50,25,23,A,26,7,1,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,04,48,1.4078337873926532,1.1948925157316126,-0.9977246841962695,-1.8369600398434118,2.0257863067035964
SBC04,5,Female,Comparison,NA,30,0,10,2,40,10,50,25,23,A,38,10,1,excluir,53412,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,04,48,1.4078337873926532,-0.7429193739864512,-0.9977246841962695,-1.8369600398434118,2.0257863067035964
SBC04,5,Female,Comparison,NA,30,0,10,2,40,10,50,25,23,A,22,12,1,amar,80242,1,Canonical,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,04,48,1.4078337873926532,-0.7361014407534451,0.9977246841962695,-1.8369600398434118,2.0257863067035964
SBC04,5,Female,Comparison,NA,30,0,10,2,40,10,50,25,23,A,32,15,0,amar,80242,1,Canonical,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,04,48,1.4078337873926532,-0.7361014407534451,0.9977246841962695,-1.8369600398434118,2.0257863067035964
SBC04,5,Female,Comparison,NA,30,0,10,2,40,10,50,25,23,A,27,17,1,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,04,48,1.4078337873926532,1.830619938229171,-0.9977246841962695,-1.8369600398434118,2.0257863067035964
