Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,24,32,1,gustar,541858,1,DativeExp,,,,Aspect,Preterit,E,Regular stative with durante
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,34,35,1,vivir,599425,1,Canonical,,,,Aspect,Preterit,G,Regular stative with entre
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,29,37,1,tener,8031798,0,Canonical,,,,Aspect,Preterit,F,Irregular stative with durante
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,39,40,0,estar,10180830,0,Canonical,,,,Aspect,Preterit,H,Irregular stative with entre
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,25,42,1,faltar,182742,1,DativeExp,,,,Aspect,Preterit,E,Regular stative with durante
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,35,45,1,doler,69627,1,DativeExp,,,,Aspect,Preterit,G,Regular stative with entre
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,30,47,1,creer,537246,0,Canonical,,,,Aspect,Preterit,F,Irregular stative with durante
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,40,50,1,haber,7679109,0,Canonical,,,,Aspect,Preterit,H,Irregular stative with entre
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,40,2,1,haber,7679109,0,Canonical,,,,Aspect,Preterit,H,Irregular stative with entre
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,30,4,1,creer,537246,0,Canonical,,,,Aspect,Preterit,F,Irregular stative with durante
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,35,7,0,doler,69627,1,DativeExp,,,,Aspect,Preterit,G,Regular stative with entre
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,25,9,1,faltar,182742,1,DativeExp,,,,Aspect,Preterit,E,Regular stative with durante
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,39,12,1,estar,10180830,0,Canonical,,,,Aspect,Preterit,H,Irregular stative with entre
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,29,14,1,tener,8031798,0,Canonical,,,,Aspect,Preterit,F,Irregular stative with durante
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,34,17,1,vivir,599425,1,Canonical,,,,Aspect,Preterit,G,Regular stative with entre
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,24,19,0,gustar,541858,1,DativeExp,,,,Aspect,Preterit,E,Regular stative with durante
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,38,22,1,creer,537246,0,Canonical,,,,Aspect,Preterit,H,Irregular stative with entre
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,28,24,1,excluir,53412,0,Canonical,,,,Aspect,Preterit,F,Irregular stative with durante
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,33,27,1,faltar,182742,1,DativeExp,,,,Aspect,Preterit,G,Regular stative with entre
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,23,29,1,vivir,599425,1,Canonical,,,,Aspect,Preterit,E,Regular stative with durante
