Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Condition_Exp
L2L02,40,Female,L2 Learner,L2 Learner,18,0,10,0,30,0,26,11,14,B,27,17,0,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L02,40,Female,L2 Learner,L2 Learner,18,0,10,0,30,0,26,11,14,B,36,20,0,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L02,40,Female,L2 Learner,L2 Learner,18,0,10,0,30,0,26,11,14,B,23,22,0,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L02,40,Female,L2 Learner,L2 Learner,18,0,10,0,30,0,26,11,14,B,33,25,0,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L02,40,Female,L2 Learner,L2 Learner,18,0,10,0,30,0,26,11,14,B,28,27,0,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L02,40,Female,L2 Learner,L2 Learner,18,0,10,0,30,0,26,11,14,B,38,30,0,haber,7679109,1017563,4153642,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L02,40,Female,L2 Learner,L2 Learner,18,0,10,0,30,0,26,11,14,B,24,32,0,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L02,40,Female,L2 Learner,L2 Learner,18,0,10,0,30,0,26,11,14,B,34,35,0,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L02,40,Female,L2 Learner,L2 Learner,18,0,10,0,30,0,26,11,14,B,29,37,0,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L02,40,Female,L2 Learner,L2 Learner,18,0,10,0,30,0,26,11,14,B,39,40,0,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L02,40,Female,L2 Learner,L2 Learner,18,0,10,0,30,0,26,11,14,B,25,42,0,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L02,40,Female,L2 Learner,L2 Learner,18,0,10,0,30,0,26,11,14,B,35,45,0,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L02,40,Female,L2 Learner,L2 Learner,18,0,10,0,30,0,26,11,14,B,30,47,0,haber,7679109,1017563,4153642,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L02,40,Female,L2 Learner,L2 Learner,18,0,10,0,30,0,26,11,14,B,40,50,0,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,21,2,1,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,31,5,0,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,26,7,0,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,37,10,0,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,22,12,0,gustar,541858,94346,59408,1,DativeExp,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,32,15,0,gustar,541858,94346,59408,1,DativeExp,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,27,17,0,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,36,20,0,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,38,22,1,haber,7679109,1017563,4153642,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,28,24,0,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,33,27,1,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,23,29,1,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,36,32,0,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,27,34,0,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,32,37,1,gustar,541858,94346,59408,1,DativeExp,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,22,39,0,gustar,541858,94346,59408,1,DativeExp,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,37,42,0,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,26,44,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,31,47,1,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L03,42,Female,L2 Learner,L2 Learner,25,9,0,0,30,,36,5,9,A,21,49,0,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,21,2,1,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,31,5,0,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,26,7,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,37,10,0,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,22,12,0,gustar,541858,94346,59408,1,DativeExp,,,Aspect,Preterit,FCT,E,Regular stative with durante
