Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,FofA_Std,LF_Std,LOR_Std,DELE_Std
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,35,7,0,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,25,-0.011689447099696918,-0.7272111425074158,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,25,9,1,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,25,-0.011689447099696918,-0.6984402377742357,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,39,12,0,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,25,-0.011689447099696918,1.8445826801584029,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,29,14,0,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,25,-0.011689447099696918,1.297974405919307,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,34,17,1,vivir,599425,1,Canonical,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,25,-0.011689447099696918,-0.5924565318383682,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,24,19,0,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,25,-0.011689447099696918,-0.6070987514624232,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,38,22,0,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,25,-0.011689447099696918,-0.6082718179224809,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,28,24,0,excluir,53412,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,25,-0.011689447099696918,-0.731335442735047,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,33,27,1,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,25,-0.011689447099696918,-0.6984402377742357,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,23,29,0,vivir,599425,1,Canonical,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,25,-0.011689447099696918,-0.5924565318383682,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,37,32,0,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,25,-0.011689447099696918,1.297974405919307,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,27,34,0,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,25,-0.011689447099696918,1.8445826801584029,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,32,37,0,amar,80242,1,Canonical,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,25,-0.011689447099696918,-0.7245112074524478,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,22,39,0,amar,80242,1,Canonical,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,25,-0.011689447099696918,-0.7245112074524478,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,36,42,0,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,25,-0.011689447099696918,1.297974405919307,-0.5753969085652074,-1.9621900401842918
