Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Condition_Exp
L2L02,40,Female,L2 Learner,,18,0,10,0,30,0,26,11,14,B,8,25,1,permitir,935997,,,0,Canonical,viajar,78141,Mood,Subjunctive,B,[+F/–F]
L2L02,40,Female,L2 Learner,,18,0,10,0,30,0,26,11,14,B,13,28,1,valorar,113028,,,1,Canonical,quedar,947469,Mood,Subjunctive,C,[–F/+F]
L2L02,40,Female,L2 Learner,,18,0,10,0,30,0,26,11,14,B,3,30,1,permitir,935997,,,0,Canonical,enviar,766523,Mood,Subjunctive,A,[+F/+F]
L2L02,40,Female,L2 Learner,,18,0,10,0,30,0,26,11,14,B,17,33,1,conseguir,129144,,,0,Canonical,atar,15876,Mood,Subjunctive,D,[–F/–F]
L2L02,40,Female,L2 Learner,,18,0,10,0,30,0,26,11,14,B,7,35,1,pedir,432187,,,0,Canonical,bailar,29935,Mood,Subjunctive,B,[+F/–F]
L2L02,40,Female,L2 Learner,,18,0,10,0,30,0,26,11,14,B,12,38,1,sugerir,88224,,,0,Canonical,dejar,696519,Mood,Subjunctive,C,[–F/+F]
L2L02,40,Female,L2 Learner,,18,0,10,0,30,0,26,11,14,B,2,40,1,pedir,432187,,,0,Canonical,quedar,947469,Mood,Subjunctive,A,[+F/+F]
L2L02,40,Female,L2 Learner,,18,0,10,0,30,0,26,11,14,B,16,43,1,sugerir,88224,,,0,Canonical,viajar,78141,Mood,Subjunctive,D,[–F/–F]
L2L02,40,Female,L2 Learner,,18,0,10,0,30,0,26,11,14,B,6,45,1,querer,1263949,,,0,Canonical,robar,28182,Mood,Subjunctive,B,[+F/–F]
L2L02,40,Female,L2 Learner,,18,0,10,0,30,0,26,11,14,B,11,48,1,desear,148807,,,1,Canonical,tomar,506707,Mood,Subjunctive,C,[–F/+F]
L2L02,40,Female,L2 Learner,,18,0,10,0,30,0,26,11,14,B,1,50,1,esperar,1409514,,,1,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,1,1,0,esperar,1409514,,,1,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,11,3,0,desear,148807,,,1,Canonical,tomar,506707,Mood,Subjunctive,C,[–F/+F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,6,6,0,querer,1263949,,,0,Canonical,robar,28182,Mood,Subjunctive,B,[+F/–F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,16,8,0,sugerir,88224,,,0,Canonical,viajar,78141,Mood,Subjunctive,D,[–F/–F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,2,11,0,pedir,432187,,,0,Canonical,quedar,947469,Mood,Subjunctive,A,[+F/+F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,12,13,0,sugerir,88224,,,0,Canonical,dejar,696519,Mood,Subjunctive,C,[–F/+F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,7,16,0,pedir,432187,,,0,Canonical,bailar,29935,Mood,Subjunctive,B,[+F/–F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,17,18,0,conseguir,129144,,,0,Canonical,atar,15876,Mood,Subjunctive,D,[–F/–F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,3,21,1,permitir,935997,,,0,Canonical,enviar,766523,Mood,Subjunctive,A,[+F/+F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,13,23,0,valorar,113028,,,1,Canonical,quedar,947469,Mood,Subjunctive,C,[–F/+F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,8,26,0,permitir,935997,,,0,Canonical,viajar,78141,Mood,Subjunctive,B,[+F/–F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,18,28,0,desear,148807,,,1,Canonical,robar,28182,Mood,Subjunctive,D,[–F/–F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,4,31,0,querer,1263949,,,0,Canonical,tratar,590952,Mood,Subjunctive,A,[+F/+F]
