Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,FofA_Std,LF_Std,TF_Std,LOR_Std,DELE_Std
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,40,2,1,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,25,-0.017783689111359764,1.197937185064565,-1.0016941207826227,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,30,4,0,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,25,-0.017783689111359764,-0.6209471240310251,-1.0016941207826227,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,35,7,0,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,25,-0.017783689111359764,-0.7400399800176173,0.9971819851034218,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,25,9,1,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,25,-0.017783689111359764,-0.7112319367068807,0.9971819851034218,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,39,12,0,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,25,-0.017783689111359764,1.8350736118813393,-1.0016941207826227,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,29,14,0,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,25,-0.017783689111359764,1.287759754902521,-1.0016941207826227,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,34,17,1,vivir,599425,1,Canonical,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,25,-0.017783689111359764,-0.6051114229744164,0.9971819851034218,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,24,19,0,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,25,-0.017783689111359764,-0.6197725433321867,0.9971819851034218,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,38,22,0,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,25,-0.017783689111359764,-0.6209471240310251,-1.0016941207826227,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,28,24,0,excluir,53412,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,25,-0.017783689111359764,-0.7441696040487679,-1.0016941207826227,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,33,27,1,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,25,-0.017783689111359764,-0.7112319367068807,0.9971819851034218,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,23,29,0,vivir,599425,1,Canonical,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,25,-0.017783689111359764,-0.6051114229744164,0.9971819851034218,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,37,32,0,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,25,-0.017783689111359764,1.287759754902521,-1.0016941207826227,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,27,34,0,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,25,-0.017783689111359764,1.8350736118813393,-1.0016941207826227,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,32,37,0,amar,80242,1,Canonical,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,25,-0.017783689111359764,-0.7373365597838423,0.9971819851034218,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,22,39,0,amar,80242,1,Canonical,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,25,-0.017783689111359764,-0.7373365597838423,0.9971819851034218,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,36,42,0,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,25,-0.017783689111359764,1.287759754902521,-1.0016941207826227,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,26,44,0,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,25,-0.017783689111359764,1.197937185064565,-1.0016941207826227,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,31,47,1,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,25,-0.017783689111359764,-0.6197725433321867,0.9971819851034218,-0.5782582724365801,-1.9848549524650483
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,21,49,0,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,25,-0.017783689111359764,-0.7400399800176173,0.9971819851034218,-0.5782582724365801,-1.9848549524650483
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,21,2,0,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,14,-0.949610754053892,-0.7400399800176173,0.9971819851034218,-0.5782582724365801,-0.5822536700563445
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,31,5,0,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,14,-0.949610754053892,-0.6197725433321867,0.9971819851034218,-0.5782582724365801,-0.5822536700563445
