Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,LF,FofA_Std,LF_Main_Std,LF_Sub_Std,LF_Std,LOR_Std,DELE_Std
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,3,21,1,necesitar,593469,Regular,Canonical,NA,tratar,590952,Mood,Subjunctive,A,[+F/+F],2,25,1184421,-0.0056651431433709125,0.14997188471590023,0.716181424754058,0.4232795114463454,-0.5722600679437538,-1.9393741556843591
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,13,23,1,valorar,113028,Regular,Canonical,NA,bailar,29935,Mood,Subjunctive,C,[–F/+F],2,25,142963,-0.0056651431433709125,-0.831629750647271,-0.8875600925281153,-0.9375690169534814,-0.5722600679437538,-1.9393741556843591
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,8,26,1,permitir,935997,Irregular,Canonical,NA,quedar,947469,Mood,Subjunctive,B,[+F/–F],2,25,1883466,-0.0056651431433709125,0.8497998447727569,1.7353325636979553,1.3367050740088846,-0.5722600679437538,-1.9393741556843591
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,18,28,1,sugerir,88224,Irregular,Canonical,NA,atar,15876,Mood,Subjunctive,D,[–F/–F],2,25,104100,-0.0056651431433709125,-0.8823074550137762,-0.9277496090516254,-0.9883503795808772,-0.5722600679437538,-1.9393741556843591
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,4,31,1,querer,1263949,Irregular,Canonical,NA,quedar,947469,Mood,Subjunctive,A,[+F/+F],2,25,2211418,-0.0056651431433709125,1.5198471961033526,1.7353325636979553,1.7652321932837667,-0.5722600679437538,-1.9393741556843591
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,14,33,1,conseguir,129144,Irregular,Canonical,NA,viajar,78141,Mood,Subjunctive,C,[–F/+F],2,25,207285,-0.0056651431433709125,-0.7987027274425219,-0.7497568466690692,-0.8535209813690088,-0.5722600679437538,-1.9393741556843591
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,9,36,0,necesitar,593469,Regular,Canonical,NA,enviar,766523,Mood,Subjunctive,B,[+F/–F],2,25,1359992,-0.0056651431433709125,0.14997188471590023,1.2180744189605588,0.6526939832538364,-0.5722600679437538,-1.9393741556843591
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,19,38,1,ordenar,65158,Regular,Canonical,NA,prestar,73724,Mood,Subjunctive,D,[–F/–F],2,25,138882,-0.0056651431433709125,-0.9294342058974162,-0.7623834271146446,-0.9429015630997492,-0.5722600679437538,-1.9393741556843591
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,5,41,1,esperar,1409514,Regular,Canonical,NA,enviar,766523,Mood,Subjunctive,A,[+F/+F],2,25,2176037,-0.0056651431433709125,1.8172548737404404,1.2180744189605588,1.719000677674578,-0.5722600679437538,-1.9393741556843591
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,15,43,1,desear,148807,Regular,Canonical,NA,robar,28182,Mood,Subjunctive,C,[–F/+F],2,25,176989,-0.0056651431433709125,-0.7585287353058265,-0.8925712755756801,-0.8931080477858985,-0.5722600679437538,-1.9393741556843591
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,10,46,1,pedir,432187,Irregular,Canonical,NA,tratar,590952,Mood,Subjunctive,B,[+F/–F],2,25,1023139,-0.0056651431433709125,-0.17954760873832823,0.716181424754058,0.2125361378706651,-0.5722600679437538,-1.9393741556843591
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,20,48,1,valorar,113028,Regular,Canonical,NA,viajar,78141,Mood,Subjunctive,D,[–F/–F],2,25,191169,-0.0056651431433709125,-0.831629750647271,-0.7497568466690692,-0.8745793772752206,-0.5722600679437538,-1.9393741556843591
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,1,1,1,permitir,935997,Irregular,Canonical,NA,tomar,506707,Mood,Subjunctive,A,[+F/+F],2,14,1442704,-0.9404137617995748,0.8497998447727569,0.4753559165726006,0.7607717967432008,-0.5722600679437538,-0.551904568946741
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,11,3,1,sugerir,88224,Irregular,Canonical,NA,prestar,73724,Mood,Subjunctive,C,[–F/+F],2,14,161948,-0.9404137617995748,-0.8823074550137762,-0.7623834271146446,-0.9127617666258918,-0.5722600679437538,-0.551904568946741
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,6,6,0,querer,1263949,Irregular,Canonical,NA,dejar,696519,Mood,Subjunctive,B,[+F/–F],2,14,1960468,-0.9404137617995748,1.5198471961033526,1.0179586984461693,1.4373217655930326,-0.5722600679437538,-0.551904568946741
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,16,8,1,desear,148807,Regular,Canonical,NA,bailar,29935,Mood,Subjunctive,D,[–F/–F],2,14,178742,-0.9404137617995748,-0.7585287353058265,-0.8875600925281153,-0.8908174441607069,-0.5722600679437538,-0.551904568946741
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,2,11,1,pedir,432187,Irregular,Canonical,NA,dejar,696519,Mood,Subjunctive,A,[+F/+F],2,14,1128706,-0.9404137617995748,-0.17954760873832823,1.0179586984461693,0.3504780391260057,-0.5722600679437538,-0.551904568946741
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,12,13,1,ordenar,65158,Regular,Canonical,NA,atar,15876,Mood,Subjunctive,C,[–F/+F],2,14,81034,-0.9404137617995748,-0.9294342058974162,-0.9277496090516254,-1.0184901760547345,-0.5722600679437538,-0.551904568946741
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,7,16,1,esperar,1409514,Regular,Canonical,NA,atar,15876,Mood,Subjunctive,B,[+F/–F],2,14,1425390,-0.9404137617995748,1.8172548737404404,-0.9277496090516254,0.7381480025808682,-0.5722600679437538,-0.551904568946741
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,17,18,1,conseguir,129144,Irregular,Canonical,NA,robar,28182,Mood,Subjunctive,D,[–F/–F],2,14,157326,-0.9404137617995748,-0.7987027274425219,-0.8925712755756801,-0.9188012246724612,-0.5722600679437538,-0.551904568946741
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,18,23,1,sugerir,88224,Irregular,Canonical,NA,atar,15876,Mood,Subjunctive,D,[–F/–F],2,14,104100,-0.9404137617995748,-0.8823074550137762,-0.9277496090516254,-0.9883503795808772,-0.5722600679437538,-0.551904568946741
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,8,25,1,permitir,935997,Irregular,Canonical,NA,quedar,947469,Mood,Subjunctive,B,[+F/–F],2,14,1883466,-0.9404137617995748,0.8497998447727569,1.7353325636979553,1.3367050740088846,-0.5722600679437538,-0.551904568946741
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,13,28,0,valorar,113028,Regular,Canonical,NA,bailar,29935,Mood,Subjunctive,C,[–F/+F],2,14,142963,-0.9404137617995748,-0.831629750647271,-0.8875600925281153,-0.9375690169534814,-0.5722600679437538,-0.551904568946741
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,3,30,0,necesitar,593469,Regular,Canonical,NA,tratar,590952,Mood,Subjunctive,A,[+F/+F],2,14,1184421,-0.9404137617995748,0.14997188471590023,0.716181424754058,0.4232795114463454,-0.5722600679437538,-0.551904568946741
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,17,33,0,conseguir,129144,Irregular,Canonical,NA,robar,28182,Mood,Subjunctive,D,[–F/–F],2,14,157326,-0.9404137617995748,-0.7987027274425219,-0.8925712755756801,-0.9188012246724612,-0.5722600679437538,-0.551904568946741
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,7,35,1,esperar,1409514,Regular,Canonical,NA,atar,15876,Mood,Subjunctive,B,[+F/–F],2,14,1425390,-0.9404137617995748,1.8172548737404404,-0.9277496090516254,0.7381480025808682,-0.5722600679437538,-0.551904568946741
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,12,38,1,ordenar,65158,Regular,Canonical,NA,atar,15876,Mood,Subjunctive,C,[–F/+F],2,14,81034,-0.9404137617995748,-0.9294342058974162,-0.9277496090516254,-1.0184901760547345,-0.5722600679437538,-0.551904568946741
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,2,40,1,pedir,432187,Irregular,Canonical,NA,dejar,696519,Mood,Subjunctive,A,[+F/+F],2,14,1128706,-0.9404137617995748,-0.17954760873832823,1.0179586984461693,0.3504780391260057,-0.5722600679437538,-0.551904568946741
